REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,MEAN_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
PRICO,6098,1,2019,10,4,BDRK,BDRK_SHLW,NA,NA,0.202666667,17.95101837,-67.21421479,4909009,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.047999902,3.352799893,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6100,1,2019,9,10,AGRF,AGRF_DEEP,NA,NA,0.666,17.95303189,-67.33927754,4922508,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,14.02079955,14.63039953,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6103,1,2019,11,15,PVMT,PVMT_SHLW,NA,NA,0.164666667,17.94776945,-66.69182713,4944526,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.66799966,10,ACR CERV,Acropora cervicornis,1,0,9,7,4,0,0,N,A
PRICO,6107,1,2019,11,15,PTRF,PTRF_DEEP,NA,NA,0.252,17.94977134,-66.70831648,4972019,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,13.10639958,14.02079955,10,ACR CERV,Acropora cervicornis,1,0,13,9,4,0,0,N,A
PRICO,6112,1,2019,9,10,PTRF,PTRF_DEEP,NA,NA,0.948,17.96511538,-67.32594714,5108350,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,15.84959949,16.15439948,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6114,1,2019,12,29,AGRF,AGRF_SHLW,NA,NA,0.564,17.96532995,-67.0134671,5157186,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.352799893,3.962399873,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6118,1,2019,11,15,AGRF,AGRF_SHLW,NA,NA,0.308666667,17.96720282,-66.73121573,5233486,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.657599883,4.267199863,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6121,1,2019,11,15,AGRF,AGRF_SHLW,NA,NA,0.396,17.97231331,-66.7434208,5309162,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,0.60959998,2.133599932,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6122,1,2019,9,10,AGRF,AGRF_DEEP,NA,NA,0.692,17.9791478,-67.32911954,5321685,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,15.5447995,16.45919947,9,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6124,1,2019,8,21,PTRF,PTRF_DEEP,NA,NA,0.47,17.98325814,-67.33427399,5383612,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,13.71599956,15.23999951,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6125,1,2019,8,21,PTRF,PTRF_DEEP,NA,NA,0.323333333,17.98464172,-67.33756576,5404251,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,13.10639958,14.93519952,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6126,1,2019,11,15,AGRF,AGRF_SHLW,NA,NA,0.453333333,17.9800098,-66.7065106,5433116,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,0.30479999,1.828799941,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6128,1,2019,8,21,PTRF,PTRF_DEEP,NA,NA,0.251333333,17.98825566,-67.33753191,5459307,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,13.10639958,14.63039953,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6129,1,2019,8,21,AGRF,AGRF_DEEP,NA,NA,0.897333333,17.99088488,-67.32806482,5500619,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,14.93519952,16.15439948,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6137,1,2019,8,11,HARD,HARD_DEEP,NA,NA,0.476666667,18.01161512,-67.37508758,5810209,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,12.19199961,13.10639958,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6140,1,2019,10,4,PTRF,PTRF_SHLW,NA,NA,0.178,18.01831873,-67.26264406,5927441,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,5.791199815,6.400799795,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6141,1,2019,8,21,AGRF,AGRF_DEEP,NA,NA,0.636,18.02027232,-67.33062089,5947943,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,15.23999951,18.28799941,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6143,1,2019,8,11,HARD,HARD_DEEP,NA,NA,0.233333333,18.02158131,-67.37830167,5961606,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,18.8975994,20.11679936,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6146,1,2019,10,4,PTRF,PTRF_SHLW,NA,NA,0.646,18.02845885,-67.28521075,6078797,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,11.58239963,12.4967996,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6155,1,2019,11,25,AGRF,AGRF_DEEP,NA,NA,0.306666667,18.04644432,-67.89243444,6283971,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,DEEP,15.84959949,16.45919947,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6160,1,2019,8,11,HARD,HARD_DEEP,NA,NA,0.34,18.04615678,-67.39980145,6333188,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,12.80159959,13.41119957,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6164,1,2019,11,25,AGRF,AGRF_SHLW,NA,NA,0.653333333,18.05088104,-67.87823546,6352821,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,SHLW,5.486399824,6.705599785,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6165,1,2019,11,26,SCR,SCR_SHLW,NA,NA,0.286666667,18.05146852,-67.9018505,6359653,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,SHLW,12.4967996,13.10639958,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6169,1,2019,11,25,AGRF,AGRF_SHLW,NA,NA,0.506666667,18.05220634,-67.87303092,6373478,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,SHLW,4.876799844,6.400799795,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6174,1,2019,11,25,AGRF,AGRF_DEEP,NA,NA,0.533333333,18.05440466,-67.86262455,6407910,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,DEEP,14.63039953,16.76399946,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6175,1,2019,11,26,AGRF,AGRF_SHLW,NA,NA,0.286666667,18.05508866,-67.90277279,6414707,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,SHLW,3.657599883,4.267199863,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6178,1,2019,7,27,HARD,HARD_SHLW,NA,NA,0.191333333,18.05292524,-67.3987956,6436420,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.36319967,11.27759964,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6181,1,2019,11,26,SCR,SCR_DEEP,NA,NA,0.26,18.05742254,-67.91598534,6449089,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,DEEP,17.37359944,18.28799941,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6184,1,2019,8,11,HARD,HARD_DEEP,NA,NA,0.41,18.05400771,-67.36619702,6457135,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,24.68879921,26.51759915,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6185,1,2019,7,27,HARD,HARD_SHLW,NA,NA,0.027333333,18.05520356,-67.4011365,6470825,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.66799966,11.27759964,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6189,1,2019,7,27,HARD,HARD_DEEP,NA,NA,0.036,18.06617791,-67.41709673,6635959,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,19.50719938,20.72639934,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6190,1,2019,7,27,HARD,HARD_DEEP,NA,NA,0.034,18.06745551,-67.40763843,6656625,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,11.88719962,12.80159959,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6192,1,2019,10,4,AGRF,AGRF_SHLW,NA,NA,0.358666667,18.07374803,-67.24745733,6773958,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,5.791199815,6.095999805,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6196,1,2019,11,26,BDRK,BDRK_DEEP,NA,NA,0.133333333,18.10814261,-67.93599268,7219830,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,DEEP,19.50719938,19.50719938,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6204,1,2019,9,13,AGRF,AGRF_DEEP,NA,NA,0.72,18.092483,-65.581883,7403747,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,12.19199961,13.10639958,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6210,1,2019,9,13,AGRF,AGRF_DEEP,NA,NA,0.533333333,18.097183,-65.612017,7465621,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,16.15439948,17.37359944,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6211,1,2019,10,6,AGRF,AGRF_DEEP,NA,NA,0.446666667,18.09383,-65.33327,7493740,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,24.68879921,25.29839919,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6213,1,2019,9,13,BDRK,BDRK_SHLW,NA,NA,0.37,18.099333,-65.574783,7506992,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.962399873,4.876799844,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6214,1,2019,7,19,PTRF,PTRF_SHLW,NA,NA,0.326666667,18.12229932,-67.27107016,7510281,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,6.095999805,6.705599785,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6215,1,2019,9,13,SCR,SCR_DEEP,NA,NA,0.004,18.1027,-65.6452,7541253,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.21279916,26.21279916,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6217,1,2019,7,19,PVMT,PVMT_SHLW,NA,NA,0.24,18.12641138,-67.276227,7572208,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,7.315199766,7.924799746,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6223,1,2019,9,13,BDRK,BDRK_SHLW,NA,NA,0.398,18.105083,-65.578467,7596450,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.657599883,4.876799844,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6224,1,2019,10,6,SCR,SCR_SHLW,NA,NA,0.004,18.10336,-65.3892,7624379,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.97279965,10.97279965,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6226,1,2019,12,19,AGRF,AGRF_SHLW,NA,NA,0.536666667,18.10427,-65.36746,7645071,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,8.839199717,9.143999707,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6229,1,2019,10,6,BDRK,BDRK_SHLW,NA,NA,0.161333333,18.10693,-65.40842,7672512,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,1.523999951,1.828799941,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6232,1,2019,12,19,AGRF,AGRF_SHLW,NA,NA,0.263333333,18.10658,-65.36929,7679477,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,6.400799795,6.705599785,10,ACR CERV,Acropora cervicornis,1,0,8,5,11,10,0,N,A
PRICO,6232,1,2019,12,19,AGRF,AGRF_SHLW,NA,NA,0.263333333,18.10658,-65.36929,7679477,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,6.400799795,6.705599785,10,ACR CERV,Acropora cervicornis,1,0,11,11,13,30,0,N,A
PRICO,6232,1,2019,12,19,AGRF,AGRF_SHLW,NA,NA,0.263333333,18.10658,-65.36929,7679477,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,6.400799795,6.705599785,10,ACR CERV,Acropora cervicornis,1,0,15,15,13,0,0,N,A
PRICO,6232,1,2019,12,19,AGRF,AGRF_SHLW,NA,NA,0.263333333,18.10658,-65.36929,7679477,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,6.400799795,6.705599785,10,ACR CERV,Acropora cervicornis,1,0,30,19,17,0,0,N,A
PRICO,6234,1,2019,12,19,SCR,SCR_DEEP,NA,NA,0.046,18.10986,-65.34796,7734578,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,17.37359944,17.37359944,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6235,1,2019,9,14,SCR,SCR_DEEP,NA,NA,0.004666667,18.116817,-65.636683,7761494,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,19.20239939,19.20239939,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6236,1,2019,12,19,PTRF,PTRF_SHLW,NA,NA,0.383333333,18.11191,-65.36736,7762065,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,7.619999756,8.229599737,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6237,1,2019,7,18,PVMT,PVMT_SHLW,NA,NA,0.100666667,18.13938202,-67.31248343,7764827,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,9.143999707,9.448799698,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6239,1,2019,9,13,PVMT,PVMT_DEEP,NA,NA,0.074,18.118933,-65.624517,7795930,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,12.19199961,12.4967996,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6240,1,2019,7,19,SCR,SCR_SHLW,NA,NA,0.256666667,18.14170199,-67.26851695,7806212,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,8.229599737,8.839199717,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6242,1,2019,9,14,SCR,SCR_DEEP,NA,NA,0.082666667,18.120283,-65.630617,7816563,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,16.15439948,16.15439948,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6243,1,2019,7,18,PVMT,PVMT_SHLW,NA,NA,0.1,18.14334361,-67.30063227,7826790,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6245,1,2019,7,18,HARD,HARD_SHLW,NA,NA,0.1,18.14544392,-67.33416188,7854247,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.66799966,11.58239963,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6247,1,2019,7,18,HARD,HARD_SHLW,NA,NA,0.1,18.14636783,-67.33651582,7868006,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.66799966,11.58239963,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6248,1,2019,7,19,PVMT,PVMT_SHLW,NA,NA,0.186666667,18.14677685,-67.28028021,7881889,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,8.229599737,8.839199717,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6249,1,2019,10,6,PVMT,PVMT_SHLW,NA,NA,0.162666667,18.12011,-65.29519,7906740,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,11.88719962,12.19199961,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6251,1,2019,9,29,AGRF,AGRF_SHLW,NA,NA,0.576666667,18.1527678,-67.24336329,7978315,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.047999902,3.047999902,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6252,1,2019,7,18,HARD,HARD_SHLW,NA,NA,0.173333333,18.15438824,-67.32368079,7991909,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.66799966,11.27759964,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6255,1,2019,7,18,HARD,HARD_SHLW,NA,NA,0.15,18.15803089,-67.32695403,8046958,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.97279965,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6261,1,2019,9,14,AGRF,AGRF_SHLW,NA,NA,0.446666667,18.15412,-65.47327,8374337,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,8.229599737,9.143999707,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6262,1,2019,9,14,AGRF,AGRF_SHLW,NA,NA,0.363333333,18.16306,-65.48622,8505067,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.352799893,3.962399873,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
